station,time_slot_pacific,show_title,description,show_image_url,time_slot_utc,show_url,scraped_at
Apple Music 1,1 – 3AM,The Apple Music 1 List,The world’s best new music is on Apple Music 1.,https://is1-ssl.mzstatic.com/image/thumb/Features124/v4/7b/a7/a1/7ba7a1bd-bae7-67f0-3487-e31d47ab799a/U0MtTVQtVEVSLVRoZV9MaXN0X0xpdmUtMjAyMC1OZXdMb2dvLnBuZw.png/632x632cc.webp,8 – 10 AM,https://music.apple.com/us/curator/the-apple-music-1-list-live/1194191879,2025-09-12T13:37:01.897097-07:00
Apple Music 1,3 – 5AM,Today's Hits,"The biggest songs in pop, hip-hop, R&B, and more.",https://is1-ssl.mzstatic.com/image/thumb/Features122/v4/1c/24/d0/1c24d0de-1833-7fa8-c811-3d3e5df84eb6/947f2946-2f2f-4be0-bc4c-66183f190445.png/632x632cc.webp,10AM – 12PM,https://music.apple.com/us/curator/todays-hits-on-apple-music-1/1653478003,2025-09-12T13:37:01.897097-07:00
Apple Music 1,5 – 7AM,The Apple Music 1 List,The world’s best new music is on Apple Music 1.,https://is1-ssl.mzstatic.com/image/thumb/Features124/v4/7b/a7/a1/7ba7a1bd-bae7-67f0-3487-e31d47ab799a/U0MtTVQtVEVSLVRoZV9MaXN0X0xpdmUtMjAyMC1OZXdMb2dvLnBuZw.png/632x632cc.webp,12 – 2 PM,https://music.apple.com/us/curator/the-apple-music-1-list-live/1194191879,2025-09-12T13:37:01.897097-07:00
Apple Music 1,7 – 9AM,The Apple Music 1 List,The world’s best new music is on Apple Music 1.,https://is1-ssl.mzstatic.com/image/thumb/Features124/v4/7b/a7/a1/7ba7a1bd-bae7-67f0-3487-e31d47ab799a/U0MtTVQtVEVSLVRoZV9MaXN0X0xpdmUtMjAyMC1OZXdMb2dvLnBuZw.png/632x632cc.webp,2 – 4 PM,https://music.apple.com/us/curator/the-apple-music-1-list-live/1194191879,2025-09-12T13:37:01.897097-07:00
Apple Music 1,9 – 10AM,Rocket Hour,Jessie Murph joins Elton John on the Rocket Hour.,https://is1-ssl.mzstatic.com/image/thumb/RadioSource221/v4/45/86/a2/4586a216-3cb9-43c1-ffb5-49a25173e03b/bb_source.png/632x632cc.webp,4 – 5 PM,https://music.apple.com/us/curator/rocket-hour/993269779,2025-09-12T13:37:01.897097-07:00
Apple Music 1,11AM – 1PM,The Apple Music 1 List,The world’s best new music is on Apple Music 1.,https://is1-ssl.mzstatic.com/image/thumb/Features124/v4/7b/a7/a1/7ba7a1bd-bae7-67f0-3487-e31d47ab799a/U0MtTVQtVEVSLVRoZV9MaXN0X0xpdmUtMjAyMC1OZXdMb2dvLnBuZw.png/632x632cc.webp,6 – 8 PM,https://music.apple.com/us/curator/the-apple-music-1-list-live/1194191879,2025-09-12T13:37:01.897097-07:00
Apple Music 1,1 – 3PM,The Apple Music 1 List,The world’s best new music is on Apple Music 1.,https://is1-ssl.mzstatic.com/image/thumb/Features124/v4/7b/a7/a1/7ba7a1bd-bae7-67f0-3487-e31d47ab799a/U0MtTVQtVEVSLVRoZV9MaXN0X0xpdmUtMjAyMC1OZXdMb2dvLnBuZw.png/632x632cc.webp,8 – 10 PM,https://music.apple.com/us/curator/the-apple-music-1-list-live/1194191879,2025-09-12T13:37:01.897097-07:00
Apple Music 1,1 – 3PM,Today's Hits,"The biggest songs in pop, hip-hop, R&B, and more.",https://is1-ssl.mzstatic.com/image/thumb/Features122/v4/1c/24/d0/1c24d0de-1833-7fa8-c811-3d3e5df84eb6/947f2946-2f2f-4be0-bc4c-66183f190445.png/632x632cc.webp,8 – 10 PM,https://music.apple.com/us/curator/todays-hits-on-apple-music-1/1653478003,2025-09-12T13:37:01.897097-07:00
Apple Music 1,3 – 4PM,danceXL Radio,The biggest new tunes roaring through clubs around the world. May contain explicit content.,https://is1-ssl.mzstatic.com/image/thumb/Features122/v4/d3/4c/fe/d34cfe6d-87d3-fcf1-eb52-2533dad65547/1cdfaf08-2a72-4067-b549-4ded3f13406f.png/632x632cc.webp,10 – 11 PM,https://music.apple.com/us/curator/dancexl-radio/1472071066,2025-09-12T13:37:01.897097-07:00
Apple Music 1,4 – 6PM,Loops,Electronic music at its most innovative.,https://is1-ssl.mzstatic.com/image/thumb/RadioSource221/v4/f7/d8/e9/f7d8e9bd-28b4-5434-03b6-0e32507e6f0c/bb_source.png/632x632cc.webp,11PM – 1AM,https://music.apple.com/us/station/apple-music-1/ra.978194965,2025-09-12T13:37:01.897097-07:00
Apple Music 1,6 – 8PM,Beats In Space with Tim Sweeney,Tim Sweeney and DJ Holographic. May contain explicit content.,https://is1-ssl.mzstatic.com/image/thumb/RadioSource221/v4/0a/63/74/0a6374fa-948e-fe0b-583c-3a3a66e36126/bb_source.png/632x632cc.webp,1 – 3 AM,https://music.apple.com/us/curator/beats-in-space-with-tim-sweeney/1573950910,2025-09-12T13:37:01.897097-07:00
Apple Music 1,8 – 9:30PM,"Nicole Moudaber at [UNVRS]: Jun 22, 2025",In the mix with Nicole Moudaber. May contain explicit content.,https://is1-ssl.mzstatic.com/image/thumb/RadioSource211/v4/ff/04/5b/ff045b03-0e3c-05ed-d517-be74d36ad14d/bb_source.png/632x632cc.webp,3 – 4:30 AM,https://music.apple.com/us/curator/dj-mixes-on-apple-music-1/1550669739,2025-09-12T13:37:01.897097-07:00
Apple Music 1,9:30 – 11:30PM,"Benny Benassi at [UNVRS]: Jul 17, 2025",May contain explicit content.,https://is1-ssl.mzstatic.com/image/thumb/RadioSource221/v4/0f/a0/c3/0fa0c39e-fd09-8a26-08ce-93d6ccb609a2/bb_source.png/632x632cc.webp,4:30 – 6:30 AM,https://music.apple.com/us/curator/dj-mixes-on-apple-music-1/1550669739,2025-09-12T13:37:01.897097-07:00
Apple Music 1,10 – 11AM,The Apple Music 1 List,The world’s best new music is on Apple Music 1.,https://is1-ssl.mzstatic.com/image/thumb/Features124/v4/7b/a7/a1/7ba7a1bd-bae7-67f0-3487-e31d47ab799a/U0MtTVQtVEVSLVRoZV9MaXN0X0xpdmUtMjAyMC1OZXdMb2dvLnBuZw.png/632x632cc.webp,5 – 6 PM,https://music.apple.com/us/curator/the-apple-music-1-list-live/1194191879,2025-09-12T13:37:01.897097-07:00
Apple Music 1,11:30PM – 1AM,The Apple Music 1 List,The world’s best new music is on Apple Music 1.,https://is1-ssl.mzstatic.com/image/thumb/Features124/v4/7b/a7/a1/7ba7a1bd-bae7-67f0-3487-e31d47ab799a/U0MtTVQtVEVSLVRoZV9MaXN0X0xpdmUtMjAyMC1OZXdMb2dvLnBuZw.png/632x632cc.webp,6:30 – 8 AM,https://music.apple.com/us/curator/the-apple-music-1-list-live/1194191879,2025-09-12T13:37:01.897097-07:00
Apple Music Chill,2 – 3AM,Acoustic Chill,"Pop and indie with a lighter, unplugged touch.",https://is1-ssl.mzstatic.com/image/thumb/RadioSource221/v4/9f/e6/e0/9fe6e0c5-76d9-bac5-8393-90e5d52f65d3/bb_source.png/632x632cc.webp,9 – 10 AM,https://music.apple.com/us/station/apple-music-chill/ra.1740614260,2025-09-12T13:37:01.897097-07:00
Apple Music Chill,3 – 5AM,The Chill List,Listen and let go.,https://is1-ssl.mzstatic.com/image/thumb/Features211/v4/a3/48/ad/a348ad87-ef08-cb26-25b0-267e6be9fa94/cdbcfb25-5574-4caa-9027-5eebe3dd83cc.png/632x632cc.webp,10AM – 12PM,https://music.apple.com/us/station/apple-music-chill/ra.1740614260,2025-09-12T13:37:01.897097-07:00
Apple Music Chill,5 – 6AM,Lo-Fi Chill,"Hazy, easy sounds for lean-back listening.",https://is1-ssl.mzstatic.com/image/thumb/RadioSource211/v4/5e/f2/4d/5ef24d37-9174-683a-5c64-134ced909189/bb_source.png/632x632cc.webp,12 – 1 PM,https://music.apple.com/us/station/apple-music-chill/ra.1740614260,2025-09-12T13:37:01.897097-07:00
Apple Music Chill,6 – 8AM,The Chill List,Listen and let go.,https://is1-ssl.mzstatic.com/image/thumb/Features211/v4/a3/48/ad/a348ad87-ef08-cb26-25b0-267e6be9fa94/cdbcfb25-5574-4caa-9027-5eebe3dd83cc.png/632x632cc.webp,1 – 3 PM,https://music.apple.com/us/station/apple-music-chill/ra.1740614260,2025-09-12T13:37:01.897097-07:00
Apple Music Chill,8 – 9AM,Pure Focus,"A mix of immersive, mostly electronic sounds.",https://is1-ssl.mzstatic.com/image/thumb/RadioSource221/v4/dd/c2/80/ddc280ac-8bcc-1961-b648-5b1274c5a68e/bb_source.png/632x632cc.webp,3 – 4 PM,https://music.apple.com/us/station/apple-music-chill/ra.1740614260,2025-09-12T13:37:01.897097-07:00
Apple Music Chill,9 – 10AM,Chill Gems,Listen and let go.,https://is1-ssl.mzstatic.com/image/thumb/Features211/v4/a3/48/ad/a348ad87-ef08-cb26-25b0-267e6be9fa94/cdbcfb25-5574-4caa-9027-5eebe3dd83cc.png/632x632cc.webp,4 – 5 PM,https://music.apple.com#,2025-09-12T13:37:01.897097-07:00
Apple Music Chill,11AM – 12PM,Chill Africa,Mellow music from across the continent and diaspora.,https://is1-ssl.mzstatic.com/image/thumb/RadioSource211/v4/e5/71/b1/e571b1c7-baa0-adbd-e475-250b3e0c6b85/bb_source.png/632x632cc.webp,6 – 7 PM,https://music.apple.com/us/station/apple-music-chill/ra.1740614260,2025-09-12T13:37:01.897097-07:00
Apple Music Chill,12 – 2PM,The Chill List,Listen and let go.,https://is1-ssl.mzstatic.com/image/thumb/Features211/v4/a3/48/ad/a348ad87-ef08-cb26-25b0-267e6be9fa94/cdbcfb25-5574-4caa-9027-5eebe3dd83cc.png/632x632cc.webp,7 – 9 PM,https://music.apple.com/us/station/apple-music-chill/ra.1740614260,2025-09-12T13:37:01.897097-07:00
